SRC,TRG
he burped pres,he burps
he laughed past,he laughed
the gentle chickens laughed pres,the gentle chickens laugh
the zebras near a zebra laughed pres,the zebras near a zebra laugh
the badgers coughed past,the badgers coughed
she danced past,she danced
a dog laughed past,a dog laughed
the dog danced pres,the dog dances
near the gentle frogs the robins with the dog laughed pres,near the gentle frogs the robins with the dog laugh
a kindly kindly jocular zebra laughed pres,a kindly kindly jocular zebra laughs
near a zebra the robin burped past,near a zebra the robin burped
with the zebra a jocular frog danced past,with the zebra a jocular frog danced
the robin laughed past,the robin laughed
they laughed pres,they laugh
most badgers coughed past,most badgers coughed
a humble zebra danced pres,a humble zebra dances
the humble robins hoped pres,the humble robins hope
a zebra near her laughed pres,a zebra near her laughs
the badgers laughed pres,the badgers laugh
the gentle zebras coughed past,the gentle zebras coughed
the lovely robins danced pres,the lovely robins dance
most gentle robins danced pres,most gentle robins dance
the dogs laughed pres,the dogs laugh
most zebras laughed past,most zebras laughed
the badger with them laughed past,the badger with them laughed
near the zebras most kindly robins danced pres,near the zebras most kindly robins dance
with her the zebra danced pres,with her the zebra dances
the badgers hoped pres,the badgers hope
the kindly badgers laughed pres,the kindly badgers laugh
the zebras with him hoped pres,the zebras with him hope
near a robin near the zebra a chicken with a kindly badger coughed past,near a robin near the zebra a chicken with a kindly badger coughed
most chickens laughed past,most chickens laughed
he laughed past,he laughed
near the zebra the chicken near a dog laughed pres,near the zebra the chicken near a dog laughs
a badger laughed pres,a badger laughs
the robin laughed past,the robin laughed
a chicken near him hoped past,a chicken near him hoped
a zebra danced pres,a zebra dances
the chickens laughed past,the chickens laughed
he laughed past,he laughed
a zebra danced pres,a zebra dances
the kindly zebra burped pres,the kindly zebra burps
they laughed pres,they laugh
the gentle clever badger danced pres,the gentle clever badger dances
the gentle dogs danced pres,the gentle dogs dance
they danced past,they danced
the zebras laughed past,the zebras laughed
the zebras near the robins coughed past,the zebras near the robins coughed
the chickens died pres,the chickens die
the frogs burped past,the frogs burped
near the dog she burped past,near the dog she burped
with a robin a gentle frog hoped pres,with a robin a gentle frog hopes
they laughed pres,they laugh
near most dogs near a zebra near a lovely robin most clever badgers laughed pres,near most dogs near a zebra near a lovely robin most clever badgers laugh
most zebras hoped past,most zebras hoped
a zebra danced pres,a zebra dances
a zebra danced past,a zebra danced
near the chickens the robins hoped pres,near the chickens the robins hope
the badger with him laughed past,the badger with him laughed
near a badger near a badger the robin with a jocular badger burped past,near a badger near a badger the robin with a jocular badger burped
the frog laughed past,the frog laughed
the zebras laughed pres,the zebras laugh
the chicken laughed past,the chicken laughed
the gentle clever gentle chicken danced past,the gentle clever gentle chicken danced
near the dog a zebra coughed past,near the dog a zebra coughed
the robins burped past,the robins burped
a badger danced past,a badger danced
they danced pres,they dance
near her the dog near a clever zebra burped pres,near her the dog near a clever zebra burps
a badger near them burped past,a badger near them burped
the chicken danced past,the chicken danced
he danced past,he danced
the zebras hoped pres,the zebras hope
the humble gentle chicken coughed pres,the humble gentle chicken coughs
a badger danced pres,a badger dances
the kindly zebra laughed pres,the kindly zebra laughs
the chickens danced pres,the chickens dance
he danced pres,he dances
the clever badgers laughed pres,the clever badgers laugh
the kindly humble gentle humble badgers laughed pres,the kindly humble gentle humble badgers laugh
the zebra near a zebra laughed pres,the zebra near a zebra laughs
she hoped pres,she hopes
with him a dog hoped pres,with him a dog hopes
the clever clever zebras danced past,the clever clever zebras danced
with the kindly zebras the robins coughed pres,with the kindly zebras the robins cough
the jocular zebra laughed pres,the jocular zebra laughs
with most badgers the zebras hoped pres,with most badgers the zebras hope
with the chickens they coughed past,with the chickens they coughed
a dog laughed pres,a dog laughs
the zebras with a badger danced past,the zebras with a badger danced
near most zebras with her most zebras laughed pres,near most zebras with her most zebras laugh
the robin near most badgers died pres,the robin near most badgers dies
the lovely badgers died pres,the lovely badgers die
the dogs coughed past,the dogs coughed
near her she hoped past,near her she hoped
the zebra near the badger laughed past,the zebra near the badger laughed
the badgers danced pres,the badgers dance
near the badgers the badgers near the chicken hoped past,near the badgers the badgers near the chicken hoped
a zebra near the zebra near a zebra laughed pres,a zebra near the zebra near a zebra laughs
the zebras with the zebra died pres,the zebras with the zebra die
the zebra near most zebras laughed pres,the zebra near most zebras laughs
most zebras laughed pres,most zebras laugh
a badger laughed past,a badger laughed
the chickens laughed past,the chickens laughed
near the zebra a chicken hoped past,near the zebra a chicken hoped
the dogs laughed past,the dogs laughed
