SRC,TRG
the robin with the badgers burped pres,the robin with the badgers burps
the chickens near the dogs with the zebra hoped past,the chickens near the dogs with the zebra hoped
a zebra laughed pres,a zebra laughs
the gentle zebra laughed past,the gentle zebra laughed
the frog hoped pres,the frog hopes
the dog laughed past,the dog laughed
the clever gentle gentle zebra burped pres,the clever gentle gentle zebra burps
the badgers near most chickens hoped pres,the badgers near most chickens hope
the zebras laughed pres,the zebras laugh
near them the dogs burped pres,near them the dogs burp
the chicken danced pres,the chicken dances
most chickens with the zebra coughed past,most chickens with the zebra coughed
the zebra laughed pres,the zebra laughs
she laughed past,she laughed
a robin laughed pres,a robin laughs
the zebras near a zebra near the jocular clever badger laughed pres,the zebras near a zebra near the jocular clever badger laugh
a zebra near most zebras hoped pres,a zebra near most zebras hopes
the chicken burped pres,the chicken burps
the humble gentle zebras laughed past,the humble gentle zebras laughed
the dogs danced pres,the dogs dance
the robin danced past,the robin danced
a frog laughed pres,a frog laughs
the frogs hoped past,the frogs hoped
the kindly badgers danced pres,the kindly badgers dance
a badger laughed pres,a badger laughs
the dog coughed past,the dog coughed
they laughed past,they laughed
the chicken with the zebra with the gentle chickens laughed pres,the chicken with the zebra with the gentle chickens laughs
the dogs near the chicken laughed past,the dogs near the chicken laughed
a badger died past,a badger died
near the chicken a zebra laughed past,near the chicken a zebra laughed
with them the zebras near the zebras danced past,with them the zebras near the zebras danced
the dogs near the robins laughed past,the dogs near the robins laughed
the clever zebra coughed pres,the clever zebra coughs
near the kindly gentle gentle zebra the robin coughed past,near the kindly gentle gentle zebra the robin coughed
the zebra coughed past,the zebra coughed
he hoped past,he hoped
a clever humble lovely robin hoped pres,a clever humble lovely robin hopes
the zebras laughed pres,the zebras laugh
the zebra with him laughed past,the zebra with him laughed
the zebras near her died past,the zebras near her died
a zebra with a badger near a gentle zebra hoped pres,a zebra with a badger near a gentle zebra hopes
the badgers near the badgers died past,the badgers near the badgers died
the humble jocular badger laughed past,the humble jocular badger laughed
the badger hoped pres,the badger hopes
the robin laughed past,the robin laughed
the badger with most dogs laughed past,the badger with most dogs laughed
he hoped pres,he hopes
most zebras with the badgers with the zebra laughed pres,most zebras with the badgers with the zebra laugh
the badger near the zebra near her danced past,the badger near the zebra near her danced
the zebras near her coughed pres,the zebras near her cough
the clever dog burped past,the clever dog burped
with a chicken a zebra near the zebras danced past,with a chicken a zebra near the zebras danced
a clever zebra laughed past,a clever zebra laughed
a badger danced past,a badger danced
a badger danced past,a badger danced
the zebras laughed pres,the zebras laugh
the gentle zebra laughed past,the gentle zebra laughed
the zebras laughed past,the zebras laughed
near the badgers near the zebras they danced past,near the badgers near the zebras they danced
the badgers near a badger near the badger near the chicken with a chicken near the zebras near the zebra laughed pres,the badgers near a badger near the badger near the chicken with a chicken near the zebras near the zebra laugh
the zebras near the badger laughed past,the zebras near the badger laughed
most zebras laughed past,most zebras laughed
with the dogs most zebras with him laughed past,with the dogs most zebras with him laughed
the zebras near the zebras near her hoped pres,the zebras near the zebras near her hope
a dog danced past,a dog danced
the zebras near them danced pres,the zebras near them dance
the chickens with most badgers near a zebra danced pres,the chickens with most badgers near a zebra dance
she coughed pres,she coughs
she burped past,she burped
the robin laughed pres,the robin laughs
the zebras burped pres,the zebras burp
with her the jocular zebra coughed past,with her the jocular zebra coughed
the zebras laughed pres,the zebras laugh
the clever zebra coughed pres,the clever zebra coughs
a robin laughed past,a robin laughed
the zebras danced pres,the zebras dance
the robin laughed past,the robin laughed
the zebras near the badgers danced past,the zebras near the badgers danced
near the gentle robin he burped past,near the gentle robin he burped
the robin laughed past,the robin laughed
the gentle zebras laughed pres,the gentle zebras laugh
the kindly zebras danced pres,the kindly zebras dance
the frogs hoped past,the frogs hoped
a badger near the zebra near her laughed past,a badger near the zebra near her laughed
near a humble zebra the zebra danced pres,near a humble zebra the zebra dances
the badgers coughed pres,the badgers cough
the robins danced past,the robins danced
with the badgers the zebras with a clever lovely zebra laughed past,with the badgers the zebras with a clever lovely zebra laughed
a badger with her danced past,a badger with her danced
a zebra coughed pres,a zebra coughs
the zebras died pres,the zebras die
the badger hoped pres,the badger hopes
near a zebra he hoped past,near a zebra he hoped
near the kindly dogs they laughed past,near the kindly dogs they laughed
near the badger a badger near the badgers laughed past,near the badger a badger near the badgers laughed
the zebra laughed past,the zebra laughed
a zebra near the zebra laughed past,a zebra near the zebra laughed
they laughed pres,they laugh
near the badgers near a badger the gentle zebras hoped past,near the badgers near a badger the gentle zebras hoped
the frogs laughed past,the frogs laughed
with the dog near the dogs she laughed pres,with the dog near the dogs she laughs
the badgers near a zebra burped past,the badgers near a zebra burped
the gentle zebras hoped past,the gentle zebras hoped
the gentle chicken laughed pres,the gentle chicken laughs
the chickens near the zebras near a badger near a lovely zebra burped pres,the chickens near the zebras near a badger near a lovely zebra burp
the zebra with the jocular badgers laughed past,the zebra with the jocular badgers laughed
a dog near her danced pres,a dog near her dances
a badger laughed past,a badger laughed
the gentle zebras danced pres,the gentle zebras dance
the frog burped past,the frog burped
the clever badger burped pres,the clever badger burps
they coughed past,they coughed
the jocular badgers laughed pres,the jocular badgers laugh
the zebras near them laughed past,the zebras near them laughed
the robins hoped past,the robins hoped
with the zebras most badgers burped pres,with the zebras most badgers burp
near them most chickens near the zebras coughed pres,near them most chickens near the zebras cough
most humble chickens danced past,most humble chickens danced
the jocular gentle dogs burped past,the jocular gentle dogs burped
they coughed past,they coughed
a robin laughed past,a robin laughed
near the dogs the zebras with a humble zebra laughed past,near the dogs the zebras with a humble zebra laughed
